spec,env,r,p
HA,PDOCF,-0.018886175,0.063981218
HA,OER,0.013295105,0.192269959
HA,TCT,0.032067189,0.001657458
HA,UROCG,0.059605393,0.000000005
HA,BGV,-0.446496478,0.000000000
HA,TLOF,-0.086061825,0.000000000
HA,API,-0.230148016,0.000000000
HA,TOCW,0.007513033,0.461240993
HA,SWS,-0.003871580,0.704180872
HA,FOCG,0.007990286,0.433268551
HA,TOCA,0.003641792,0.720981368
HA,AH,-0.003958081,0.697893232
Normal,C_C,0.001175490,0.908223974
Normal,C_SI,-0.282051587,0.000000000
Normal,C_MN,0.008589096,0.399598586
Normal,C_P,0.018178898,0.074597534
Normal,C_S1,-0.410109604,0.000000000
Normal,C_CU,-0.000327019,0.974415944
Normal,C_MO,-0.015191981,0.136238410
Normal,C_CAO,-0.010627507,0.297292623
Normal,C_SIO2,0.000724026,0.943394209
Normal,C_MGO,0.001299487,0.898592721
Normal,C_AL2O3,0.009710598,0.340929798
Normal,C_FEO,-0.406266268,0.000000000
Normal,C_S2,-0.006525286,0.522215443
Normal,BA,0.016775532,0.099913542
Normal,CCO,-0.153922134,0.000000000
Normal,CCO2,0.179453015,0.000000000
Normal,CH2,-0.014692765,0.149590233
Normal,CN2,0.001397395,0.890998399
Normal,C_SO2,-0.019654492,0.053894977
Normal,PE,-0.018953544,0.063038580
Normal,FOCA,0.217793138,0.000000000
Normal,POCA,-0.131073889,0.000000000
Normal,OEF,0.003710683,0.715929921
Normal,OEP,0.010187235,0.317757692
Normal,TOHA,0.005369884,0.598455985
Normal,POHA,-0.012022019,0.238386942
Normal,AWS,-0.246395283,0.000000000
Normal,FOCW,0.012116246,0.234727048
Normal,BKE,-0.001246114,0.902736647
Normal,FOTCW,0.006655014,0.513977535
Normal,CIV,-0.000465556,0.963584003
Normal,FS,0.010807657,0.289178513
Normal,FA,-0.013952024,0.171210194
Normal,NOCR,0.003858358,0.705143722
Normal,BWOO,-0.009387060,0.357260109
Normal,BWOC,-0.000186926,0.985374276
Normal,TOMI,0.218802361,0.000000000
Normal,TFP,0.194219369,0.000000000
Normal,TFT,-0.030409564,0.002855118
Normal,SPOF,-0.024190767,0.017658221
Normal,PDOIF,-0.229761853,0.000000000
Normal,PDOUF,-0.189610736,0.000000000
Normal,PDOCF,-0.005381737,0.597648852
Normal,OER,0.123843851,0.000000000
Normal,TCT,0.341086065,0.000000000
